State,Year,Crop Name,Temperature Range,Yield (MT),Area (Ha)
Andhra Pradesh,2000,Sugarcane,20-37,853669,772191
Arunachal Pradesh,2024,Maize,10-28,3780923,2157866
Arunachal Pradesh,2024,Millet,10-28,2602935,2294491
Arunachal Pradesh,2024,Rice,10-28,7096124,1522688
Arunachal Pradesh,2024,Wheat,10-28,3522997,458716
Arunachal Pradesh,2023,Maize,10-28,3358877,687080
Arunachal Pradesh,2023,Millet,10-28,8255108,2522715
Arunachal Pradesh,2023,Rice,10-28,2854203,2227218
Arunachal Pradesh,2023,Wheat,10-28,877958,1643617
Arunachal Pradesh,2022,Maize,10-28,5539342,1011563
Arunachal Pradesh,2022,Millet,10-28,2098353,975680
Arunachal Pradesh,2022,Rice,10-28,4547123,425562
Arunachal Pradesh,2022,Wheat,10-28,4732739,1556356
Arunachal Pradesh,2021,Maize,10-28,4247234,1165331
Arunachal Pradesh,2021,Millet,10-28,4499552,1788650
Arunachal Pradesh,2021,Rice,10-28,2092713,1670908
Arunachal Pradesh,2021,Wheat,10-28,5135869,1318531
Arunachal Pradesh,2020,Maize,10-28,2508977,1305823
Arunachal Pradesh,2020,Millet,10-28,1765421,1339380
Arunachal Pradesh,2020,Rice,10-28,3283280,506041
Arunachal Pradesh,2020,Wheat,10-28,3180799,1382665
Arunachal Pradesh,2019,Maize,10-28,1431178,1209092
Arunachal Pradesh,2019,Millet,10-28,1140332,442109
Arunachal Pradesh,2019,Rice,10-28,4924670,523155
Arunachal Pradesh,2019,Wheat,10-28,5462380,849809
Arunachal Pradesh,2018,Maize,10-28,4252641,1297494
Arunachal Pradesh,2018,Millet,10-28,4319296,963711
Arunachal Pradesh,2018,Rice,10-28,3223009,1099373
Arunachal Pradesh,2018,Wheat,10-28,4596586,1582884
Arunachal Pradesh,2017,Maize,10-28,2845794,1011973
Arunachal Pradesh,2017,Millet,10-28,2084982,837728
Arunachal Pradesh,2017,Rice,10-28,3147398,1404922
Arunachal Pradesh,2017,Wheat,10-28,4592091,2012531
Arunachal Pradesh,2016,Maize,10-28,3102080,715733
Arunachal Pradesh,2016,Millet,10-28,848164,403016
Arunachal Pradesh,2016,Rice,10-28,2779698,386994
Arunachal Pradesh,2016,Wheat,10-28,648720,916386
Arunachal Pradesh,2015,Maize,10-28,861572,1468309
Arunachal Pradesh,2015,Millet,10-28,2649556,1094094
Arunachal Pradesh,2015,Rice,10-28,3368174,923004
Arunachal Pradesh,2015,Wheat,10-28,1060744,1085544
Arunachal Pradesh,2014,Maize,10-28,1162449,736785
Arunachal Pradesh,2014,Millet,10-28,1216527,1198976
Arunachal Pradesh,2014,Rice,10-28,2137989,1547211
Arunachal Pradesh,2014,Wheat,10-28,2140630,1563451
Arunachal Pradesh,2013,Maize,10-28,4789307,1421034
Arunachal Pradesh,2013,Millet,10-28,1369873,1107525
Arunachal Pradesh,2013,Rice,10-28,5253009,810215
Arunachal Pradesh,2013,Wheat,10-28,3652129,545301
Arunachal Pradesh,2012,Maize,10-28,1155708,471324
Arunachal Pradesh,2012,Millet,10-28,2134029,544623
Arunachal Pradesh,2012,Rice,10-28,2031577,476251
Arunachal Pradesh,2012,Wheat,10-28,3104640,1059420
Arunachal Pradesh,2011,Maize,10-28,3789918,398667
Arunachal Pradesh,2011,Millet,10-28,3293789,1560488
Arunachal Pradesh,2011,Rice,10-28,3933453,520283
Arunachal Pradesh,2011,Wheat,10-28,3791627,1170086
Arunachal Pradesh,2010,Maize,10-28,2306491,1003288
Arunachal Pradesh,2010,Millet,10-28,2776996,599178
Arunachal Pradesh,2010,Rice,10-28,3911925,966979
Arunachal Pradesh,2010,Wheat,10-28,1006731,797696
Arunachal Pradesh,2009,Maize,10-28,1658019,668677
Arunachal Pradesh,2009,Millet,10-28,3814328,1219651
Arunachal Pradesh,2009,Rice,10-28,3311635,472690
Arunachal Pradesh,2009,Wheat,10-28,4939686,1773408
Arunachal Pradesh,2008,Maize,10-28,1448886,1321478
Arunachal Pradesh,2008,Millet,10-28,3484867,264613
Arunachal Pradesh,2008,Rice,10-28,3160645,557648
Arunachal Pradesh,2008,Wheat,10-28,2835026,1234945
Arunachal Pradesh,2007,Maize,10-28,1025587,705448
Arunachal Pradesh,2007,Millet,10-28,889238,715398
Arunachal Pradesh,2007,Rice,10-28,3132855,1340913
Arunachal Pradesh,2007,Wheat,10-28,3962174,1253499
Arunachal Pradesh,2006,Maize,10-28,1717259,272746
Arunachal Pradesh,2006,Millet,10-28,3873400,715368
Arunachal Pradesh,2006,Rice,10-28,2178772,552281
Arunachal Pradesh,2006,Wheat,10-28,890081,351561
Arunachal Pradesh,2005,Maize,10-28,2678684,1068913
Arunachal Pradesh,2005,Millet,10-28,2280347,1026495
Arunachal Pradesh,2005,Rice,10-28,774161,637102
Arunachal Pradesh,2005,Wheat,10-28,3038277,288000
Arunachal Pradesh,2004,Maize,10-28,2105019,1039915
Arunachal Pradesh,2004,Millet,10-28,3888413,238037
Arunachal Pradesh,2004,Rice,10-28,629616,689779
Arunachal Pradesh,2004,Wheat,10-28,3403436,884723
Arunachal Pradesh,2003,Maize,10-28,3013659,308090
Arunachal Pradesh,2003,Millet,10-28,2857251,1063160
Arunachal Pradesh,2003,Rice,10-28,2594813,927632
Arunachal Pradesh,2003,Wheat,10-28,1173290,620658
Arunachal Pradesh,2002,Maize,10-28,1397412,294663
Arunachal Pradesh,2002,Millet,10-28,3163564,349343
Arunachal Pradesh,2002,Rice,10-28,1892228,926944
Arunachal Pradesh,2002,Wheat,10-28,2349461,695045
Arunachal Pradesh,2001,Maize,10-28,3270754,332722
Arunachal Pradesh,2001,Millet,10-28,1114952,231816
Arunachal Pradesh,2001,Rice,10-28,686217,216869
Arunachal Pradesh,2001,Wheat,10-28,1105987,1162391
Arunachal Pradesh,2000,Maize,10-28,955177,566316
Arunachal Pradesh,2000,Millet,10-28,1113254,1058735
Arunachal Pradesh,2000,Rice,10-28,2158671,987098
Arunachal Pradesh,2000,Wheat,10-28,2076876,794917
Assam,2024,Jute,18-32,6247967,2061530
Assam,2024,Potato,18-32,2099513,860029
Assam,2024,Rice,18-32,2294986,1839662
Assam,2024,Tea,18-32,1862595,588373
Assam,2024,Wheat,18-32,4680671,1974169
Assam,2023,Jute,18-32,3626900,1504567
Assam,2023,Potato,18-32,5681181,1389337
Assam,2023,Rice,18-32,5435390,861992
Assam,2023,Tea,18-32,1824438,895535
Assam,2023,Wheat,18-32,4704418,1032055
Assam,2022,Jute,18-32,1395504,1023542
Assam,2022,Potato,18-32,3177945,1094360
Assam,2022,Rice,18-32,6731772,492642
Assam,2022,Tea,18-32,4223925,738862
Assam,2022,Wheat,18-32,2133215,468264
Assam,2021,Jute,18-32,3407503,759414
Assam,2021,Potato,18-32,1941799,1248240
Assam,2021,Rice,18-32,2019449,1474859
Assam,2021,Tea,18-32,2039721,1272630
Assam,2021,Wheat,18-32,2510056,1215049
Assam,2020,Jute,18-32,4816981,695513
Assam,2020,Potato,18-32,2726249,500456
Assam,2020,Rice,18-32,5685905,1149926
Assam,2020,Tea,18-32,5570345,553245
Assam,2020,Wheat,18-32,3267227,1090207
Assam,2019,Jute,18-32,2054515,953382
Assam,2019,Potato,18-32,1785581,799325
Assam,2019,Rice,18-32,5785619,1764421
Assam,2019,Tea,18-32,6356880,712892
Assam,2019,Wheat,18-32,1191910,1789238
Assam,2018,Jute,18-32,3115545,553198
Assam,2018,Potato,18-32,2478283,931962
Assam,2018,Rice,18-32,3025121,1669489
Assam,2018,Tea,18-32,2209504,1630688
Assam,2018,Wheat,18-32,3578630,310548
Assam,2017,Jute,18-32,1921467,1288564
Assam,2017,Potato,18-32,2218266,1496149
Assam,2017,Rice,18-32,2316783,1470885
Assam,2017,Tea,18-32,3660993,1088208
Assam,2017,Wheat,18-32,4338726,1378135
Assam,2016,Jute,18-32,5148948,1224043
Assam,2016,Potato,18-32,4839736,728392
Assam,2016,Rice,18-32,2299746,1193862
Assam,2016,Tea,18-32,3736614,671513
Assam,2016,Wheat,18-32,5508207,486849
Assam,2015,Jute,18-32,3167166,547192
Assam,2015,Potato,18-32,4720034,1361605
Assam,2015,Rice,18-32,5630306,394645
Assam,2015,Tea,18-32,1828359,827718
Assam,2015,Wheat,18-32,3806104,586506
Assam,2014,Jute,18-32,2179410,858807
Assam,2014,Potato,18-32,5346193,360630
Assam,2014,Rice,18-32,3123920,586073
Assam,2014,Tea,18-32,3276453,484572
Assam,2014,Wheat,18-32,849362,765501
Assam,2013,Jute,18-32,803073,1239672
Assam,2013,Potato,18-32,2510162,1348478
Assam,2013,Rice,18-32,4074698,904297
Assam,2013,Tea,18-32,3796551,1114872
Assam,2013,Wheat,18-32,4540372,1280938
Assam,2012,Jute,18-32,1130326,1079284
Assam,2012,Potato,18-32,1195112,408899
Assam,2012,Rice,18-32,1508252,1164885
Assam,2012,Tea,18-32,742614,1216979
Assam,2012,Wheat,18-32,1468347,1177039
Assam,2011,Jute,18-32,3643292,500029
Assam,2011,Potato,18-32,4566781,918207
Assam,2011,Rice,18-32,770683,747885
Assam,2011,Tea,18-32,3050466,1490296
Assam,2011,Wheat,18-32,2118539,980562
Assam,2010,Jute,18-32,2922554,281615
Assam,2010,Potato,18-32,1939563,1241076
Assam,2010,Rice,18-32,1296709,327062
Assam,2010,Tea,18-32,3787077,727417
Assam,2010,Wheat,18-32,878014,1495498
Assam,2009,Jute,18-32,3739805,543205
Assam,2009,Potato,18-32,3675993,652878
Assam,2009,Rice,18-32,974331,1055731
Assam,2009,Tea,18-32,973912,511181
Assam,2009,Wheat,18-32,3826756,924114
Assam,2008,Jute,18-32,2172917,306463
Assam,2008,Potato,18-32,1456058,302179
Assam,2008,Rice,18-32,2918435,592926
Assam,2008,Tea,18-32,795621,375894
Assam,2008,Wheat,18-32,1461063,1245471
Assam,2007,Jute,18-32,2881955,1099447
Assam,2007,Potato,18-32,2546475,436759
Assam,2007,Rice,18-32,1225493,370014
Assam,2007,Tea,18-32,2007385,228285
Assam,2007,Wheat,18-32,1332290,774645
Assam,2006,Jute,18-32,1857259,1429939
Assam,2006,Potato,18-32,2038677,321739
Assam,2006,Rice,18-32,3579024,534657
Assam,2006,Tea,18-32,3683807,1013659
Assam,2006,Wheat,18-32,648772,429996
Assam,2005,Jute,18-32,3522088,708529
Assam,2005,Potato,18-32,3849909,632073
Assam,2005,Rice,18-32,3364003,1265873
Assam,2005,Tea,18-32,3309332,562115
Assam,2005,Wheat,18-32,3610356,775497
Assam,2004,Jute,18-32,3794350,785694
Assam,2004,Potato,18-32,3667761,357835
Assam,2004,Rice,18-32,1702643,978720
Assam,2004,Tea,18-32,2788391,1031642
Assam,2004,Wheat,18-32,1290144,725410
Assam,2003,Jute,18-32,714904,799197
Assam,2003,Potato,18-32,2439422,766105
Assam,2003,Rice,18-32,643037,868223
Assam,2003,Tea,18-32,1196432,640652
Assam,2003,Wheat,18-32,993099,813922
Assam,2002,Jute,18-32,2521044,936341
Assam,2002,Potato,18-32,717606,958887
Assam,2002,Rice,18-32,1868342,537317
Assam,2002,Tea,18-32,1050548,817796
Assam,2002,Wheat,18-32,3288354,756449
Assam,2001,Jute,18-32,3648417,1240446
Assam,2001,Potato,18-32,2485629,729224
Assam,2001,Rice,18-32,1126915,694758
Assam,2001,Tea,18-32,3398373,1083676
Assam,2001,Wheat,18-32,2320663,614574
Assam,2000,Jute,18-32,3296109,1249553
Assam,2000,Potato,18-32,759153,821327
Assam,2000,Rice,18-32,3217928,690531
Assam,2000,Tea,18-32,1518404,1071295
Assam,2000,Wheat,18-32,1542620,555913
Bihar,2024,Maize,10-32,1228915,1262433
Bihar,2024,Potato,10-32,815192,838705
Bihar,2024,Rice,10-32,9573087,4703122
Bihar,2024,Sugarcane,10-32,3321753,559870
Bihar,2024,Wheat,10-32,12482973,5067472
Bihar,2023,Maize,10-32,3152023,1124976
Bihar,2023,Potato,10-32,6245925,1944643
Bihar,2023,Rice,10-32,12612361,6204205
Bihar,2023,Sugarcane,10-32,4256614,2324098
Bihar,2023,Wheat,10-32,7436345,3020703
Bihar,2022,Maize,10-32,3162260,1057447
Bihar,2022,Potato,10-32,4275172,1448771
Bihar,2022,Rice,10-32,9146654,4521974
Bihar,2022,Sugarcane,10-32,3629638,1618259
Bihar,2022,Wheat,10-32,6844082,2785809
Bihar,2021,Maize,10-32,6022746,770197
Bihar,2021,Potato,10-32,4427699,1754128
Bihar,2021,Rice,10-32,12498413,6136325
Bihar,2021,Sugarcane,10-32,4721305,873230
Bihar,2021,Wheat,10-32,9521639,3868921
Bihar,2020,Maize,10-32,1305754,1146272
Bihar,2020,Potato,10-32,1177538,885715
Bihar,2020,Rice,10-32,9002678,4426935
Bihar,2020,Sugarcane,10-32,2869720,2185021
Bihar,2020,Wheat,10-32,8668829,3507634
Bihar,2019,Maize,10-32,3016361,300711
Bihar,2019,Potato,10-32,3624394,1836672
Bihar,2019,Rice,10-32,13139042,6473858
Bihar,2019,Sugarcane,10-32,5806387,661124
Bihar,2019,Wheat,10-32,10192462,4126780
Bihar,2018,Maize,10-32,5666691,1481048
Bihar,2018,Potato,10-32,6269028,882311
Bihar,2018,Rice,10-32,8779847,4319960
Bihar,2018,Sugarcane,10-32,3311231,1256226
Bihar,2018,Wheat,10-32,6114856,2478865
Bihar,2017,Maize,10-32,2804755,1030329
Bihar,2017,Potato,10-32,1289717,1202871
Bihar,2017,Rice,10-32,8509479,4189839
Bihar,2017,Sugarcane,10-32,3691374,1508709
Bihar,2017,Wheat,10-32,7412598,3004967
Bihar,2016,Maize,10-32,2776736,826875
Bihar,2016,Potato,10-32,4558793,1492676
Bihar,2016,Rice,10-32,10229150,5026108
Bihar,2016,Sugarcane,10-32,5231981,652463
Bihar,2016,Wheat,10-32,8371185,3411404
Bihar,2015,Maize,10-32,1086866,993528
Bihar,2015,Potato,10-32,3960899,1393932
Bihar,2015,Rice,10-32,9121508,4500298
Bihar,2015,Sugarcane,10-32,3200938,335489
Bihar,2015,Wheat,10-32,6275994,2563750
Bihar,2014,Maize,10-32,1352179,1884862
Bihar,2014,Potato,10-32,1753953,818034
Bihar,2014,Rice,10-32,10088654,4954672
Bihar,2014,Sugarcane,10-32,4666795,1524032
Bihar,2014,Wheat,10-32,7042258,2866969
Bihar,2013,Maize,10-32,2429294,650555
Bihar,2013,Potato,10-32,3593043,661089
Bihar,2013,Rice,10-32,9481245,4686532
Bihar,2013,Sugarcane,10-32,5690054,661773
Bihar,2013,Wheat,10-32,7127853,2899303
Bihar,2012,Maize,10-32,1895770,913123
Bihar,2012,Potato,10-32,3518571,592564
Bihar,2012,Rice,10-32,9132822,4490457
Bihar,2012,Sugarcane,10-32,4098410,892122
Bihar,2012,Wheat,10-32,7212859,2931257
Bihar,2011,Maize,10-32,3919996,1126130
Bihar,2011,Potato,10-32,2628296,1283895
Bihar,2011,Rice,10-32,6770205,3349695
Bihar,2011,Sugarcane,10-32,2488246,697525
Bihar,2011,Wheat,10-32,6018604,2450788
Bihar,2010,Maize,10-32,4653520,410843
Bihar,2010,Potato,10-32,986338,1397821
Bihar,2010,Rice,10-32,7556481,3723990
Bihar,2010,Sugarcane,10-32,786213,1616259
Bihar,2010,Wheat,10-32,6860701,2791035
Bihar,2009,Maize,10-32,1538028,492499
Bihar,2009,Potato,10-32,2277239,471883
Bihar,2009,Rice,10-32,8310039,4080308
Bihar,2009,Sugarcane,10-32,2411566,633323
Bihar,2009,Wheat,10-32,6080955,2483378
Bihar,2008,Maize,10-32,3507690,1042558
Bihar,2008,Potato,10-32,1168871,423926
Bihar,2008,Rice,10-32,9609275,4712233
Bihar,2008,Sugarcane,10-32,3493118,1115347
Bihar,2008,Wheat,10-32,5768934,2336025
Bihar,2007,Maize,10-32,1806512,409487
Bihar,2007,Potato,10-32,901544,691321
Bihar,2007,Rice,10-32,8277147,4071485
Bihar,2007,Sugarcane,10-32,2371363,1220507
Bihar,2007,Wheat,10-32,5955573,2417708
Bihar,2006,Maize,10-32,3388297,665454
Bihar,2006,Potato,10-32,3683888,891839
Bihar,2006,Rice,10-32,8221632,4030203
Bihar,2006,Sugarcane,10-32,3620651,802684
Bihar,2006,Wheat,10-32,5575967,2257339
Bihar,2005,Maize,10-32,3719508,577637
Bihar,2005,Potato,10-32,3379120,835197
Bihar,2005,Rice,10-32,7928679,3885766
Bihar,2005,Sugarcane,10-32,1009450,377287
Bihar,2005,Wheat,10-32,5222176,2120376
Bihar,2004,Maize,10-32,1063674,734702
Bihar,2004,Potato,10-32,2313694,742017
Bihar,2004,Rice,10-32,6843863,3379202
Bihar,2004,Sugarcane,10-32,1146054,856575
Bihar,2004,Wheat,10-32,4686581,1914447
Bihar,2003,Maize,10-32,668165,925007
Bihar,2003,Potato,10-32,2561647,621894
Bihar,2003,Rice,10-32,7301758,3580947
Bihar,2003,Sugarcane,10-32,2768397,1174373
Bihar,2003,Wheat,10-32,4934520,2006441
Bihar,2002,Maize,10-32,2014462,334774
Bihar,2002,Potato,10-32,1392423,1145561
Bihar,2002,Rice,10-32,7167299,3520995
Bihar,2002,Sugarcane,10-32,2468723,1019662
Bihar,2002,Wheat,10-32,4835925,1970747
Bihar,2001,Maize,10-32,1592175,201164
Bihar,2001,Potato,10-32,553579,259972
Bihar,2001,Rice,10-32,7119866,3495266
Bihar,2001,Sugarcane,10-32,958888,1022994
Bihar,2001,Wheat,10-32,5188707,2102237
Bihar,2000,Maize,10-32,1925859,923134
Bihar,2000,Potato,10-32,1117843,452063
Bihar,2000,Rice,10-32,6542892,3220060
Bihar,2000,Sugarcane,10-32,677824,847946
Bihar,2000,Wheat,10-32,4750379,1930849
Chhattisgarh,2024,Groundnut,18-38,1448964,499954
Chhattisgarh,2024,Maize,18-38,960192,928291
Chhattisgarh,2024,Rice,18-38,1650958,742974
Chhattisgarh,2024,Soybean,18-38,4270800,847387
Chhattisgarh,2024,Wheat,18-38,911030,1024583
Chhattisgarh,2023,Groundnut,18-38,2028156,1260436
Chhattisgarh,2023,Maize,18-38,2698623,445675
Chhattisgarh,2023,Rice,18-38,5165465,485491
Chhattisgarh,2023,Soybean,18-38,2330789,332184
Chhattisgarh,2023,Wheat,18-38,1750901,1344857
Chhattisgarh,2022,Groundnut,18-38,1484305,951703
Chhattisgarh,2022,Maize,18-38,1131810,2146231
Chhattisgarh,2022,Rice,18-38,940112,492696
Chhattisgarh,2022,Soybean,18-38,4610656,1992131
Chhattisgarh,2022,Wheat,18-38,4618787,1696941
Chhattisgarh,2021,Groundnut,18-38,4317819,494518
Chhattisgarh,2021,Maize,18-38,1645883,503215
Chhattisgarh,2021,Rice,18-38,2958986,513572
Chhattisgarh,2021,Soybean,18-38,1371595,1139865
Chhattisgarh,2021,Wheat,18-38,3350656,2065496
Chhattisgarh,2020,Groundnut,18-38,6978064,656819
Chhattisgarh,2020,Maize,18-38,6623941,734146
Chhattisgarh,2020,Rice,18-38,5733839,843560
